"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2026","1,470.60","1,500.00","1,503.90","1,468.80","16.52M","-2.23%"
"01/07/2026","1,504.20","1,510.00","1,520.00","1,498.00","11.20M","-0.23%"
"01/06/2026","1,507.60","1,569.00","1,569.00","1,496.30","27.42M","-4.47%"
"01/05/2026","1,578.10","1,593.00","1,611.80","1,575.30","8.70M","-0.89%"
"01/02/2026","1,592.30","1,580.00","1,594.60","1,578.20","6.60M","1.06%"
"01/01/2026","1,575.60","1,573.70","1,592.50","1,571.10","6.41M","0.33%"
"12/31/2025","1,570.40","1,541.00","1,577.00","1,541.00","5.77M","1.99%"
"12/30/2025","1,539.80","1,547.00","1,553.60","1,537.80","8.82M","-0.38%"
"12/29/2025","1,545.60","1,554.90","1,558.10","1,543.60","5.97M","-0.87%"
"12/26/2025","1,559.20","1,554.70","1,561.00","1,554.30","2.31M","0.06%"
"12/24/2025","1,558.20","1,572.70","1,575.70","1,553.60","8.82M","-0.80%"
"12/23/2025","1,570.70","1,580.90","1,580.90","1,568.10","7.51M","-0.30%"
"12/22/2025","1,575.40","1,573.50","1,577.50","1,565.30","10.18M","0.66%"
"12/19/2025","1,565.10","1,554.40","1,574.20","1,551.00","13.94M","1.34%"
"12/18/2025","1,544.40","1,535.20","1,551.50","1,535.20","6.58M","0.00%"
"12/17/2025","1,544.40","1,550.00","1,550.00","1,539.30","7.12M","0.14%"
"12/16/2025","1,542.30","1,545.00","1,551.70","1,538.80","11.73M","-0.89%"
"12/15/2025","1,556.20","1,551.20","1,558.60","1,546.50","5.77M","-0.02%"
"12/12/2025","1,556.50","1,550.80","1,559.80","1,546.10","5.11M","0.74%"
"12/11/2025","1,545.00","1,536.90","1,550.00","1,524.00","4.71M","0.53%"
"12/10/2025","1,536.90","1,534.00","1,547.50","1,531.40","7.99M","0.49%"
"12/09/2025","1,529.40","1,540.30","1,542.50","1,520.10","11.50M","-0.88%"
"12/08/2025","1,543.00","1,539.20","1,551.00","1,535.00","11.30M","0.16%"